,SampleID,Well,Replicate,Well Type,Date,Luminescence,Normalized to Negative,Vlumins
0,Vic,1.0,1.0,12.0,20160927.0,633321.368,1271.9671906601034,1.0
1,Vic,2.0,2.0,12.0,20160927.0,657692.368,1320.9140823487119,1.0384812533279313
2,WSN,3.0,1.0,12.0,20160927.0,631175.368,1267.6571488249815,0.9966115149299684
3,WSN,4.0,2.0,12.0,20160927.0,606767.368,1218.6359460702502,0.9580718394456572
4,8BM,5.0,1.0,12.0,20160927.0,193931.368,389.4931543440843,0.3062132083312243
5,8BM,6.0,2.0,12.0,20160927.0,249536.368,501.1706362834827,0.39401223550695036
6,PHH,7.0,1.0,12.0,20160927.0,1310.168,2.6313508345936087,0.002068725399456283
7,PHH,8.0,2.0,12.0,20160927.0,195.7891,0.3932242366546363,0.00030914652480192327
8,PCB,9.0,1.0,12.0,20160927.0,598096.368,1201.2210473040147,0.9443805281491781
9,PCB,10.0,2.0,12.0,20160927.0,231396.368,464.7381298113905,0.3653695891088266
10,Mock,11.0,1.0,12.0,20160927.0,497.907,1.0,0.0007861838004493162
11,Mock,12.0,2.0,12.0,20160927.0,1.0,0.002008407192507838,1.5789771994555534e-06
12,Mock,1.0,1.0,12.0,20161003.0,1201.074,1.0,0.002236038708252222
13,Mock,2.0,2.0,12.0,20161003.0,1276.725,1.0629861274159627,0.0023768781272372214
14,PCD,3.0,1.0,12.0,20161003.0,432867.653,360.40048573193656,0.8058694365695128
15,PHH,4.0,1.0,12.0,20161003.0,720.4680000000001,0.5998531314473546,0.0013412948211825933
16,Vic,5.0,1.0,12.0,20161003.0,537143.653,447.219449426097,1.0
17,L1,6.0,1.0,12.0,20161003.0,11757.553,9.789199499781029,0.021889029004313672
18,L3,7.0,1.0,12.0,20161003.0,607.928,0.5061536591417348,0.0011317791741644204
19,L4,8.0,1.0,12.0,20161003.0,1405.406,1.1701244053239017,0.002616443463774857
20,L6,9.0,1.0,12.0,20161003.0,518.02,0.4312973222299375,0.0009643975072716719
21,L10,10.0,1.0,12.0,20161003.0,1219.732,1.0155344300184668,0.002270774295084149
22,L11,11.0,1.0,12.0,20161003.0,855.613,0.71237325926629,0.0015928941824432206
23,L16,12.0,1.0,12.0,20161003.0,1.0,0.0008325881669239364,1.8616993692746841e-06
24,Mock,1.0,1.0,12.0,20161115.0,18.507000000000005,1.0,1.8099444279286734e-05
25,PHH,2.0,1.0,12.0,20161115.0,1069.96,57.81380018371426,0.0010463976549989532
26,pCD,3.0,1.0,12.0,20161115.0,1235317.582,66748.66709893552,1.2081137808738431
27,Vic,4.0,1.0,12.0,20161115.0,1022517.582,55250.315124007124,1.0
28,L17,5.0,1.0,12.0,20161115.0,750.904,40.57405306100393,0.0007343678125624639
29,L18,6.0,1.0,12.0,20161115.0,666.442,36.01026638569189,0.0006517658099301025
30,L19,7.0,1.0,12.0,20161115.0,718.181,38.80591127681417,0.0007023654288616427
31,L20,8.0,1.0,12.0,20161115.0,632.764,34.1905225049981,0.0006188294569589121
